id,name,category,unit,special_control_level,supply_risk,lead_time_bucket,lead_time_days,price_sensitive,safety_stock,supplier_id,parent_material_id
MAT-001,原料A,raw_material,kg,2,multiple,short,7,False,500,SUP-A,
MAT-002,原料B,raw_material,kg,2,dual,mid,30,True,800,SUP-B,
MAT-003,原料C,raw_material,kg,2,single,long,90,False,300,SUP-C,
MAT-004,中间体X,intermediate,kg,1,multiple,short,7,False,400,,
MAT-005,中间体Y,intermediate,kg,1,dual,mid,30,True,200,,
MAT-006,中间体Z,intermediate,kg,2,multiple,short,7,False,150,,
MAT-007,产品P1,finished,kg,2,multiple,short,7,True,1000,,
MAT-008,产品P2,finished,kg,2,multiple,short,7,True,800,,
MAT-009,产品P3,finished,kg,2,dual,mid,30,False,600,,
MAT-010,产品P4,finished,kg,2,multiple,short,7,True,400,,
MAT-011,联产品Q1,co_product,kg,2,multiple,short,7,False,200,,
MAT-012,副产品Q2,byproduct,kg,2,multiple,short,7,False,100,,
MAT-013,试剂R1,raw_material,kg,0,single,long,90,False,50,SUP-D,
MAT-014,催化剂C1,raw_material,kg,0,dual,mid,30,False,30,SUP-E,
MAT-015,特殊添加剂T1,raw_material,kg,0,single,long,120,False,20,SUP-F,
MAT-016,原料D,raw_material,kg,2,multiple,short,7,False,500,SUP-G,
MAT-017,原料E,raw_material,kg,2,single,mid,30,True,400,SUP-H,
MAT-018,中间体M1,intermediate,kg,2,dual,mid,30,False,300,,
MAT-019,中间体M2,intermediate,kg,2,multiple,short,7,False,200,,
MAT-020,中间体M3,intermediate,kg,1,multiple,short,7,False,150,,
MAT-021,产品F1,finished,kg,2,multiple,short,7,True,800,,
MAT-022,产品F2,finished,kg,2,dual,mid,30,False,600,,
MAT-023,产品F3,finished,kg,2,multiple,short,7,True,400,,
MAT-024,产品F4,finished,kg,2,multiple,short,7,True,300,,
MAT-025,产品F5,finished,kg,2,single,long,90,False,200,,
MAT-026,联产品Q3,co_product,kg,2,multiple,short,7,False,150,,
MAT-027,副产品Q4,byproduct,kg,2,multiple,short,7,False,80,,
MAT-028,辅料G1,raw_material,kg,2,multiple,short,7,False,200,SUP-I,
MAT-029,辅料G2,raw_material,kg,2,dual,mid,30,True,150,SUP-J,
MAT-030,辅料G3,raw_material,kg,2,multiple,short,7,False,100,SUP-K,
